Wavelength Dull_1_Diffuse Dull_1_Specular Dull_2_Diffuse Dull_2_Specular Bright_1_Diffuse Bright_1_Specular Bright_2_Diffuse Bright_2_Specular
2424.0 68.96188354 37.61595156 70.70882416 33.28936004 31.96070099 68.81063081 33.98688889 67.94012831
2422.0 68.26534271 37.32592009 72.08290863 33.62231447 34.27919006 65.73357394 33.77672958 68.55594252
2420.0 69.52950287 34.48091123 71.58039856 33.31118774 33.76373291 65.56938934 35.12380219 66.97807311
2418.0 69.38159943 34.50155637 71.42597198 32.54040532 33.53223801 68.79587169 34.14017487 67.64080043
2416.0 69.73112488 36.08022312 71.18732452 33.99746708 33.85648727 67.05614093 33.86427307 67.67529293
2414.0 70.46804047 33.29019923 72.57866669 33.15486911 35.16322327 66.52934263 34.85845947 67.82450103
2412.0 68.56616211 36.42292789 71.26960754 32.45063786 34.42464828 66.34309772 33.89487457 66.62206273
2410.0 67.06446838 35.07080842 72.24938202 32.74199678 33.31653595 64.66275024 34.27618027 67.04016493
2408.0 71.41027069 33.96224211 71.71037292 32.66597748 34.48562241 67.32330699 33.89147568 68.42541882
2406.0 71.83428955 29.58637235 72.02878571 33.25847629 35.62803268 65.53015522 34.50376129 67.87940981
2404.0 70.72769928 35.12400822 72.09657288 32.56718442 32.67179108 67.80545042 35.10747528 66.07756042
2402.0 70.1104126 35.6354523 71.08849335 32.89699555 36.34279251 65.23155589 33.54156494 67.64414976
2400.0 70.7000351 33.4766159 71.22071075 32.06092075 34.19887543 65.30792236 34.5713501 66.786644
2398.0 68.8872757 35.3214798 72.51192474 32.74224856 35.35990906 64.56263733 35.11016846 66.77945704
2396.0 69.22442627 36.17627713 71.8391571 33.1864166 33.33269119 66.87527081 34.66461945 66.87227635
2394.0 69.65016937 33.80240633 71.6645813 32.4176559 34.78801727 64.7947464 34.3867569 67.2609024
2392.0 67.4647522 34.6768646 71.25309753 33.25698087 33.01993179 63.62186814 34.51602173 66.61198427
2390.0 69.73927307 34.00095363 71.50080872 33.56508638 34.5199585 64.64884948 34.32098007 67.51888653
2388.0 69.63047028 35.96392822 71.27515411 32.76908109 34.98798752 66.98463058 33.48617172 67.63903428
2386.0 69.61115265 34.61673735 71.83495331 31.74175259 32.97344589 67.93161391 34.38941193 66.72157287
2384.0 68.40174103 36.21868897 71.55223083 32.71554567 36.16315842 63.3067131 34.67921448 66.23150632
2382.0 71.24169159 33.28031921 71.98379517 32.23150633 33.88321304 66.24559406 34.76325607 66.93933483
2380.0 70.72932434 33.37522126 71.37831116 33.27210234 35.11392975 64.79396057 34.07109833 67.36631777
2378.0 69.95761108 34.25799562 72.13480377 32.48573303 34.74485397 65.61805343 34.07203674 67.62129216
2376.0 69.24249268 35.50008392 72.6649704 31.9714127 35.64962387 63.12007523 34.78031158 66.69873052
2374.0 69.4029541 33.8450851 72.17089081 31.93834689 37.06602478 61.02928162 34.24806213 67.28211977
2372.0 68.36580658 33.50820162 72.24375153 32.63032527 32.90332413 67.17351917 34.28572845 67.57414245
2370.0 69.46439362 34.40418238 71.4211731 32.2004547 35.99333954 64.10662076 34.69098282 66.97440718
2368.0 70.2660141 34.5767059 72.37542725 32.47778315 35.47037125 63.43231582 34.09569168 68.27550892
2366.0 69.31744385 32.84629055 72.4315033 31.7906723 34.33388138 65.09408951 35.24716949 65.99095151
2364.0 69.73451233 32.97489167 72.47960663 32.33365627 35.09403229 62.26730346 35.09235764 66.58716966
2362.0 70.33975983 33.45228577 72.7625885 31.5674515 34.45057678 64.72607422 33.62436676 67.67942814
2360.0 71.17691803 33.24716187 72.1619339 32.4849625 34.26048279 64.52385711 34.41392517 67.26312253
2358.0 71.27558899 32.41267391 72.34637451 32.05801389 36.61421967 63.87068943 35.13793182 66.70172118
2356.0 71.40857697 31.29109953 71.86683655 32.80094905 34.88729477 63.38402939 33.68322754 68.15361786
2354.0 71.52111816 32.14383694 71.40520477 32.79132843 34.22556686 65.7366066 34.56322098 66.91238782
2352.0 70.41090393 33.72604367 72.0282135 32.5112152 36.21836853 65.36100767 34.38396835 66.80237965
2350.0 69.82385254 33.53308106 72.65536499 31.49337001 32.63563156 66.89634323 34.72221375 67.38892365
2348.0 69.31139374 34.30658726 72.33746338 31.95191192 35.12016296 65.28462224 34.87255096 66.91217044
2346.0 70.32246399 34.48632051 72.52308655 31.53167725 33.38693237 66.82435613 34.03182602 67.18127058
2344.0 69.60567474 35.95970916 72.39086151 32.15646359 35.20377731 64.46678543 34.54298019 66.59965131
2342.0 69.82995605 32.44707485 72.48680115 32.85184475 34.69120789 64.43215942 35.11862183 66.67053987
2340.0 68.55078125 34.41488645 72.34321594 31.45780946 34.36055756 65.28497314 33.91036987 67.65252683
2338.0 71.09436798 32.65850832 72.85671234 31.24469756 36.05603027 63.17131806 35.29069138 66.23448562
2336.0 70.58628845 33.27798465 71.97974396 31.67658234 35.59513092 63.68376923 34.2893219 67.0188904
2334.0 70.17410278 33.89423372 72.74091339 31.32973481 36.11280441 63.43040848 35.50357437 65.81907273
2332.0 70.49637604 33.51560976 72.06331635 32.14350895 35.66788101 62.14849472 34.33208466 67.26080324
2330.0 69.14878082 33.94617458 72.25637054 31.56089016 34.63527298 63.79731369 34.63704681 66.62779999
2328.0 70.11527252 33.43307498 72.47454834 31.39014436 36.70278168 62.50002289 34.17048645 67.12611385
2326.0 69.18881226 34.44456484 72.12814331 31.44390109 34.55406189 64.65621185 34.49608994 66.55892566
2324.0 69.3804245 32.8127747 71.89306641 31.77218629 35.24905014 62.19078445 34.60997009 65.94237521
2322.0 71.51950836 32.77787014 72.72318268 30.73342132 37.60691071 63.47438049 34.63690186 67.06110384
2320.0 69.60444641 34.11143489 72.84018707 31.27501683 35.33432007 63.83473968 34.69242477 66.72134783
2318.0 69.69654846 33.81250004 72.56775665 30.81448365 34.77471924 63.60361481 34.21560669 66.92478181
2316.0 70.13282776 31.98764034 71.92342377 31.61555483 35.34832764 64.85559086 34.53703308 67.09731292
2314.0 69.6999054 32.5334091 72.17584991 31.82706449 35.92094421 64.28543089 34.03947067 67.65482713
2312.0 66.87055206 34.22232054 72.68969727 31.50444033 34.32907486 63.33582687 34.66999054 66.64089206
2310.0 69.50895691 34.38297269 72.44088745 30.68321995 34.77506638 64.32896041 34.71240234 66.86234286
